,president1,date1,president2,date2,sim
86,Herbert Hoover,1931,Millard Fillmore,1851,0.496891501989
87,Herbert Hoover,1931,Gerald Ford,1975,0.686392760571
88,Herbert Hoover,1931,Franklin D. Roosevelt,1939,0.719751187828
89,Herbert Hoover,1931,James K. Polk,1847,0.629179375779
90,Herbert Hoover,1931,Richard Nixon,1971,0.607746843005
91,Herbert Hoover,1931,Barack Obama,2012,0.553803712275
92,Herbert Hoover,1931,James Madison,1813,0.724605361594
93,Herbert Hoover,1931,James Buchanan,1859,0.643513148693
94,Herbert Hoover,1931,Ulysses S. Grant,1873,0.691293556997
95,Herbert Hoover,1931,Rutherford B. Hayes,1879,0.689209184634
96,Herbert Hoover,1931,James Monroe,1821,0.636036021325
97,Herbert Hoover,1931,Lyndon B. Johnson,1966,0.605018220636
98,Herbert Hoover,1931,Theodore Roosevelt,1905,0.797640877395
99,Herbert Hoover,1931,John Quincy Adams,1827,0.688966226324
100,Herbert Hoover,1931,Woodrow Wilson,1917,0.73735342197
101,Herbert Hoover,1931,George Bush,1991,0.539568076204
102,Herbert Hoover,1931,Warren G. Harding,1922,0.494212313975
103,Herbert Hoover,1931,John Adams,1799,0.700692193627
104,Herbert Hoover,1931,John Tyler,1843,0.700059105733
105,Herbert Hoover,1931,William McKinley,1899,0.740551759243
106,Herbert Hoover,1931,Harry S Truman,1949,0.651544979715
107,Herbert Hoover,1931,Dwight D. Eisenhower,1957,0.598120853275
108,Herbert Hoover,1931,John F. Kennedy,1962,0.635228682969
109,Herbert Hoover,1931,Calvin Coolidge,1926,0.806239177118
110,Herbert Hoover,1931,Zachary Taylor,1849,0.568340780597
111,Herbert Hoover,1931,Grover Cleveland,1887,0.754456293527
112,Herbert Hoover,1931,Jimmy Carter,1979,0.555449840375
113,Herbert Hoover,1931,Andrew Johnson,1867,0.715299450755
114,Herbert Hoover,1931,George W. Bush,2005,0.508499740992
115,Herbert Hoover,1931,Benjamin Harrison,1891,0.650779387452
116,Herbert Hoover,1931,Martin Van Buren,1839,0.710247625757
117,Herbert Hoover,1931,James A. Garfield,1881,0.56136207312
118,Herbert Hoover,1931,Abraham Lincoln,1863,0.576424771024
119,Herbert Hoover,1931,George Washington,1793,0.624921486025
120,Herbert Hoover,1931,Chester Arthur,1883,0.718209642879
121,Herbert Hoover,1931,Thomas Jefferson,1805,0.601868345616
122,Herbert Hoover,1931,Ronald Reagan,1985,0.617006398674
123,William Howard Taft,1911,Franklin Pierce,1855,0.660515847903
124,William Howard Taft,1911,Bill Clinton,1997,0.370466725393
125,William Howard Taft,1911,Herbert Hoover,1931,0.683628929154
126,William Howard Taft,1911,Andrew Jackson,1833,0.690576041309
127,William Howard Taft,1911,Millard Fillmore,1851,0.525856443854
128,William Howard Taft,1911,Gerald Ford,1975,0.509514697274
129,William Howard Taft,1911,Franklin D. Roosevelt,1939,0.565299455569
130,William Howard Taft,1911,James K. Polk,1847,0.635354979722
131,William Howard Taft,1911,Richard Nixon,1971,0.485678705843
132,William Howard Taft,1911,Barack Obama,2012,0.412795467341
133,William Howard Taft,1911,James Madison,1813,0.649411933724
134,William Howard Taft,1911,James Buchanan,1859,0.656877673051
135,William Howard Taft,1911,Ulysses S. Grant,1873,0.717323827923
136,William Howard Taft,1911,Rutherford B. Hayes,1879,0.69689845396
137,William Howard Taft,1911,James Monroe,1821,0.650357147272
138,William Howard Taft,1911,Lyndon B. Johnson,1966,0.495040392905
139,William Howard Taft,1911,Theodore Roosevelt,1905,0.725562802719
140,William Howard Taft,1911,John Quincy Adams,1827,0.639292901705
141,William Howard Taft,1911,Woodrow Wilson,1917,0.664089887772
142,William Howard Taft,1911,George Bush,1991,0.404937326853
